ko,en,type
대학원,graduate school,noun
대학원생,graduate student,noun
대학교,"university, college",noun
고등학교,high school,noun
대학생,university student,noun
대학,"university, college; faculty",noun
연구소,research institute,noun
고등학생,high school student,noun
중학생,middle school student,noun
중학교,middle school,noun
초등학교,elementary school,noun
초등학생,elementary school student,noun
유치원,kindergarten,noun
유치원생,kindergartener,noun
학원,"private institute, school, academy",noun
교무실,"faculty office, teacher's office",noun
선생님,teacher,noun
교수,"professor; teaching, instruction",noun
교사,"(higher education) instructor, teacher, school teacher; (formal) instigation, incitement, incite",noun
박사,doctor (phd); expert; doctorate degree,noun
학위,academic degree,noun
반장,"class president, leader",noun
학생,student,noun
동창,"fellow students, classmates",noun
남학생,male student,noun
여학생,female student,noun
전학생,transfer student,noun
복학생,student who has returned to school after a long break,noun
교환학생,exchange student,noun
학자,scholar,noun
장학금,scholarship,noun
학교,school,noun
교장,"principal, headmaster (at a school)",noun
학년,"school year, grade (level)",noun
학기,semester,noun
기말/학기말,"end of a term, end of a semester",noun
방학,vacation (from school),noun
강의,"lecture, class (college)",noun
강의실,"lecture room, classroom (college)",noun
강연회,lecture meeting (less common),noun
교실,classroom (not college),noun
수업,"class, lesson, course (up to highschool)",noun
반,"half; group, class",noun
클래스,class (not school/e.g. class based on skill or quality),noun
레슨,"lesson, private lesson (not school subjects; instruments etc)",noun
과외,"private lessons, tutoring; extra work",noun
유학,studying abroad,noun
전학,act of transferring schools,noun
동창회,"alumni meeting, class reunion",noun
과목,"subject, course",noun
경영학,business administration (field of study),noun
수학,mathematics; study,noun
과학,science,noun
역사,history,noun
문학,literature,noun
심리학,psychology,noun
체육,"physical education, physical training, physical activity",noun
체육관,gym (for sports),noun
시,"poem; time, hour; o'clock; city",noun
소설,novel; fiction,noun
편지,"letter, note",noun
엽서,postcard,noun
캠퍼스,campus,noun
도서관,library,noun
독서실,"reading room, study room",noun
공부,studying,noun
교과서,textbook,noun
책,book,noun
신간,new book,noun
책장,"(bigger) bookshelf, bookcase; the page of a book",noun
책꽂이,bookshelf,noun
학습,"learning, studies",noun
독학,"self-study, self education",noun
연구,"research (into/on), study (of/into/on)",noun
시험,"exam, test",noun
시험지,test paper,noun
정답,correct answer,noun
오답,"wrong answer, incorrect answer",noun
숙제,"homework, assignment",noun
과제,"task, assignment, project, homework; problem",noun
종이,paper,noun
서류,"documents, papers (plural)",noun
문서,"document, papers (singular)",noun
보고서,"report, paper",noun
논문,"thesis, research paper",noun
수필,essay (that a writer would write),noun
글,"writing, (a piece of) writing",noun
글씨,handwriting,noun
글자,"letter, characters (of a language)",noun
문자,"letters, characters, alphabet, writing system; big words; text message",noun
문장,sentence; a good writer; crest,noun
예문,example in sentence(s),noun
문구,"writing supplies; phrase, sentence, expression",noun
공책,notebook,noun
페이지,page,noun
계산기,calculator,noun
책상,desk,noun
연필,pencil,noun
펜,pen,noun
만년필,fountain pen,noun
필통,pencil case,noun
지우개,"eraser, rubber",noun
사전,dictionary,noun
칠판,"blackboard, chalkboard",noun
수첩,"(pocket) notebook, personal organizer",noun
일기,"diary, journal; one's lifetime, one's whole life; weather",noun
인간,"human being, person, mankind",noun
민족,"people, ethnic group, race",noun
국민,"the public, people, citizen",noun
시민,citizen; city dweller,noun
인구,population,noun
남녀,men and women,noun
성별,"sex, gender",noun
노약자,"elderly, weak people",noun
노인,"old people, senior citizen",noun
젊은이,"the youth, young person, young adult",noun
개인,"individual, each person",noun
인물,"person, individual, character, figure; look, appearance",noun
죽음,death,noun
살인,"murder, killing",noun
인생,life (entirety)(refers to the entirety of life/has a more serious nuance so in some situations it would be awkward),noun
평생,"lifetime, one's entire life until you die",noun
삶,"life, living, existence (half way between 인생 and 생활 and therefore is interchangeable with either)",noun
생명,life (state of being alive and the force that allows you to live); life (period of time something was maintained); life (core of something),noun
생활,"life (act of living in a place); living (making a living), livelihood; life (act of living while doing a certain job or act)(day to day life (married life/daily life/school life)",noun
목숨,life (power that allows you to breath and other actions that keep you alive),noun
일상생활,everyday life,noun
건강,health,noun
나이,age,noun
연세,age (hon.),noun
살,"years of age (count); flesh, muscle, fat",noun
동갑,the same age,noun
살,flesh,noun
피,blood,noun
피부,skin,noun
껍질,"skin, bark, peel, nutshell, shell, frame",noun
가죽,"leather, skin, hide",noun
몸,"body, body (fundamental part of an object); status (a status or person of such status)",noun
온몸,entire body,noun
신체,body (formal),noun
모습,"figure, shape, features, appearance, look (human); trace, track",noun
외모,appearance (only for people),noun
모양,"shape, form, state, condition, way; grooming (non-human)",noun
형태,"form, shape, type, kind(more abstract)",noun
무늬,"design, pattern, figure",noun
디자인,design,noun
구석,"corner (inner area of a concave corner); remote place; side, part, point",noun
코너,"corner; department, section; feature",noun
키,height (person),noun
폭,"width, range, scope; piece; deeply, completely",noun
크기,"size, volume",noun
길이,"length, distance, duration; forever, permanently",noun
높이,"height, depth (object); high, highly",noun
무게,"weight; emphasis, authority",noun
다이어트,"diet, to go on a diet",noun
톤,ton (count); tone,noun
주위,"around, the circumference, perimeter; surroundings",noun
속도,"speed, pace, velocity",noun
근육,muscle,noun
뼈,"bone; hidden meanings, synopsis; sarcasm;  work one's fingers to the bone",noun
고개,"head, neck; hill, peak (climax)",noun
머리,"hair, head",noun
머리카락,hair,noun
금발,blonde hair,noun
이마,forehead; top,noun
얼굴,face,noun
눈썹,"eyebrow, eyelashes",noun
눈,"snow, eyeball, graduation, marking",noun
눈빛,"eyes, look, the look in one's eyes; snow white, white",noun
시선,"one's eyes, gaze, focused eyes",noun
이목,"attention, spotlight; eyes",noun
귀,ear; corner; handle,noun
입,"mouth, lips; appetite, bite",noun
턱,"chin, jaw; elevated place; feast; treat, entertainment; in a composed manner; (bound) to a degree",noun
볼,cheek; ball,noun
입술,lips,noun
혀,tongue,noun
수염,"beard, moustache, whiskers",noun
턱수염,(chin) beard,noun
코,nose; stitch (knitting),noun
목,neck; throat; voice,noun
어깨,"shoulder; thug, hoodlum",noun
등,"the back; lamp; grade, class",noun
가슴,"chest, breasts, heart; front",noun
품,"bosom, breast; width (of); work, labor; (bound noun) attitude",noun
심장,the heart (in the body),noun
팔,arm,noun
주먹,"fist, punch; handful; violence; gang",noun
손,hand,noun
오른손,right hand,noun
왼손,left hand,noun
손바닥,palm of the hand,noun
손등,back of the hand,noun
맨손,"bare hands; be empty handed, have nothing",noun
손길,"hand (extended, held, brushed, touched); helping hand; touch, skill",noun
손가락,finger,noun
지문,fingerprint; text; stage direction,noun
손톱,fingernail,noun
마디,"knuckle, joint, body part; word, verse",noun
손목,wrist,noun
팔꿈치,elbow,noun
배,stomach/ship/abdomen/pear,noun
허리,waist; middle,noun
다리,leg; bridge,noun
엉덩이,"butt, buttocks",noun
무릎,knee; lap,noun
발목,ankle,noun
발,"foot, step; shot, round",noun
발끝,tips of one's toes,noun
굽,heel,noun
표정,facial expression,noun
미소,smile,noun
웃음,"laughter, laugh, giggle, smile",noun
눈물,tear,noun
울음,crying,noun
콧물,"snot, nasal mucus",noun
악수,"handshake, shake hands (with)",noun
숨,"breath, breathing",noun
한숨,sigh,noun
키수,kiss,noun
기침,cough,noun
감기,cold (sick),noun
눈병,eye disease,noun
설사,diarrhea; even if/though,noun
증상,symptom,noun
독감,flu,noun
코피,nosebleed,noun
열,"fever, heat; row, line, queue; energy, hard work, effort; anger, rage",noun
멀미,"nausea, motion sickness",noun
두통,headache,noun
땀,"sweat, perspiration; stitch (clothes)",noun
냄새,"odor, smell; mood (atmosphere)",noun
암내,armpit smell,noun
향기,"scent, fragrance",noun
기호,"taste, preference (for) (formal instances/less common, think consumer preference); sign, symbol",noun
입맛,"one's appetite, taste",noun
맛,taste,noun
침,"saliva, spit; needle, acupuncture; stinger",noun
소화,"digestion; assimilation, absorb",noun
정치,politics,noun
외교,diplomacy,noun
선거,election,noun
정략,"political scheme, move, political strategy",noun
대통령,president,noun
회장,"president, chairman (of many types of groups); hall, venue",noun
대표,"representative, delegate; representative, delegate",noun
의원,member of a legislative body; clinic; doctor,noun
정부,"government, administration; lover, mistress",noun
관리,"administration, management; government official",noun
관리비,"management expenses, administration costs, maintenance cost",noun
경영,"(business) management, adminstration",noun
공무원,"public servant, government employee, public officer",noun
장관,"minister (government affairs); magnificent sight, grandeur",noun
대사관,embassy,noun
지구,"Earth, globe; district, zone, area",noun
세계적,"being global, worldwide, world-class; (determiner) global, worldwide",noun
세계,"whole world, universe; circle, community (geographical?)",noun
세상,"the world, society; life (abstract?)",noun
사회,"society, community, the world",noun
계급,(social) class; rank (stronger association with job/wealth),noun
신분,"social position, status; identity",noun
법,"law, legislation; (bound noun) way, rule, right behavior",noun
법칙,"law (of...), rule, principle (universal norms you are expected to follow)",noun
규칙,"rule, regulation",noun
불법,"illegality, unlawfulness, illegal action",noun
벌,"punishment, penalty; bee, wasp, hornet; set (of), pair (of); (counter) number of clothes, dishes",noun
벌금,"fine, penalty",noun
죄,"crime, sin, blame, guilt",noun
고소,"accusation, (legal) charge; bitter smile",noun
응급,emergency,noun
질서,"order, system (enforced by rules)",noun
평화,peace,noun
자유,"freedom, liberty",noun
독립,independence,noun
문화,culture,noun
이민,emigration; immigration,noun
전통,"tradition, custom, heritage",noun
풍습,"custom, manners",noun
예절,"manners, etiquette (in regards to a specific situation, where you follow procedure)",noun
예의,"(good) manners, courtesy (general good/polite etiquette)",noun
한복,Korean dress (traditional),noun
대중,"the (general) public; being public, being popular; crowd, mass, party",noun
공중,"public (attached); the air (standlone noun), midair",noun
인기,popularity; public interest,noun
여권,passport; women's rights,noun
금연,"smoking prohibited, no smoking",noun
이름,name,noun
성명,"full name; statement, announcement",noun
제목,"title, name (book etc)",noun
호칭,"title, name, address",noun
성,"family name; castle; gender, sex; anger",noun
세대,"generation; household, family",noun
성함,(your) name (hon.),noun
서명,"signature, autograph; book title",noun
가족,family (people you're related to),noun
친척,"relatives, extended family",noun
식구,"family, member of family, live in the same house/eat together",noun
부모님,parents,noun
자식,"one's children, offspring, descendent",noun
자녀,"(someone else's) children, sons and daughters, descendant",noun
보호자,"guardian, protector (responsible for taking care of children or elderly)",noun
사이,relationship; distance apart,noun
관계,"relationship, connection, being related; sex",noun
우정,friendship,noun
둘이,"two people, a couple, a pair",noun
부부,a married couple,noun
신혼부부,newly wed couple,noun
주부,"housewife, homemaker",noun
이혼,divorce,noun
저,I (humble),noun
나,I,noun
내,"my (informal); the inside, within",noun
너,you,noun
너희,"you (plural), all of you, your, yourselfs",noun
그대,"you, your, yours, yourself; (poetic)",noun
당신,you (formal lang.),noun
우리,"we (informal), our",noun
저희,"we, our; they, their, them",noun
남,"other people, others, stranger",noun
상대방,"the other party, the opposing team, adversary; he, they, counterpart",noun
양쪽,"both sides, both parties",noun
여러분,"everyone, everybody, ladies and gentlemen",noun
모두,"(adv) all (as an ADV it's slightly less formal than 전부); (noun) all, everyone, everybody",noun
숙녀,lady,noun
남성,"men, male; masculine gender",noun
여성,"women, the female sex",noun
여자,"woman, female",noun
그녀,"she, her",noun
남자,"man, him",noun
녀석,"(bound noun) guy, fellow",noun
놈,"(informal) guy; jerk, punk; (bound noun) can refer to a person or thing in a negative way",noun
여보,"Honey, Dear",noun
바보,"fool, stupid person, idiot; retard",noun
멍청이,"stupid person,idiot, fool, moron",noun
새끼,"young animal; baby, child, kid; (offensive) bastard, creep, son of a bitch; straw, rope",noun
구두쇠,"cheapskate, scrooge, penny pincher",noun
무,"radish; nothing, zero; tie (win/lose); being military",noun
감자,potato; capital reduction,noun
죽,"porridge, gruel; in a row; throughout, during; far away",noun
국,"soup, nation, country, state",noun
일식,Japanese-style food; solar eclipse,noun
파,"green onion; group, clique, faction; par",noun
김,"dried seaweed; steam, fizz, warm breath",noun
알,"egg (any animal), spawn; lens; grain",noun
먹이,"food, feed; prey",noun
원,Korean currency,noun
달러,dollar,noun
잔돈,"small money, change (money); balance",noun
거스름돈,change (coins),noun
동전,(copper) coin,noun
현금,(physical) cash,noun
용돈,"pocket money, allowance, spending money",noun
내기,"bet, betting, wager",noun
재산,"property, fortune, wealth, asset",noun
유산,"inheritance, legacy, heritage; abortion, miscarriage",noun
문화재,"cultural assets, cultural properties",noun
수입,"income, earnings, revenue; import",noun
수출,export,noun
이익,"benefit, profit, gain, interest",noun
뇌물,bribe; kickback,noun
예금,"deposit, savings",noun
통장,bankbook,noun
얼마에,price,noun
가격,"price; hitting, striking",noun
값,"price, cost, value",noun
물가,"prices (avg market price for goods and services), cost of living; edge of water",noun
가치,"value, worth",noun
평가,"appraisal, evaluation, assessment, estimation",noun
공짜,free (of charge),noun
무료,"free of charge, complimentary (more formal)",noun
요금,"charge, fee, fare",noun
세금,tax,noun
차비,transportation fare,noun
비용,"expense, cost (of something)",noun
지출,"expense, spend, outgoings, (act of) spending",noun
계산서,"check, bill (like at a restaurant)",noun
수표,check (you're writing or receiving),noun
영수증,receipt,noun
판매,"sale(s), selling",noun
구매,purchase,noun
매진,"sold out, sellout; striving",noun
환불,"refund, money back",noun
보상,compensation; reward,noun
서비스,service,noun
봉사,"(volunteer) service, serve; blind person",noun
명함,business card,noun
신용카드,credit card,noun
신분증,ID card,noun
월급,monthly salary,noun
임금,"wages, pay (of any kind/formal); king, monarch",noun
공주,princess; Gong Ju,noun
보험,insurance,noun
건강보험증,health insurance card,noun
회사,"company, corporation (that someone would work at)",noun
대기업,"large company, major company",noun
회사원,company employee (office),noun
직원,"employee, staff member",noun
계산원,cashier,noun
승무원,"crewman, stewardess",noun
노동자,"worker, laborer",noun
근로자,workers,noun
노동,labor; manual labor,noun
인원,"the number of people, personnel, headcount",noun
사무실,office,noun
과,"department, section, division; lesson, chapter",noun
직장,"workplace, job, office, company",noun
공사,construction; public corporation; official and personal affairs,noun
사업,"enterprise, business (act of managing a companies activities); work, service, project, activity",noun
단체,"organization, association, society; group of people, party",noun
기업,"enterprise, business, corporation, company (that seek to make profit)",noun
장사,"business (selling something for profit), trade, commerce, deal; funeral; person of great physical strength",noun
업체,"company, business (less common)",noun
직업,"job, career",noun
하는 일,"job (2), work that you do",noun
일,"work, job",noun
백수,"being out of work (nuance of staying at home and being lazy), unemployed; empty hands; all kinds of animals",noun
업무,"business, job, duty, work, task (that you do as part of a job)",noun
작업,"work (towards a certain process/for something), operation (formal)",noun
근무,"work (for/at) as an employee, be at work (formal)",noun
일거리,"work (that enables you to earn money), things to do, task",noun
아르바이트,part-time job,noun
본업,"main occupation, day job, primary job",noun
이력서,"resume, CV",noun
면접,(job) interview,noun
실장,head of the office; dptmt. head; section chief,noun
과장님,"head of department, chief",noun
부장,head of department,noun
감독,"supervision; supervisor, director, manager",noun
사장,"(more common) president of a company, CEO, boss; die out",noun
책임자,"person in charge, manager (who takes responsibility when something happens)",noun
상사,"one's boss, superior (workplace); trading firm; seargeant",noun
사업가,"businessman, entrepreneur",noun
원장,"director, president (of an institution ending in 원)",noun
총장,"chancellor (of a university), secretary general",noun
승진,"promotion (at a job), advancement",noun
지원자,"applicant, volunteer; supporter",noun
주인,"owner, employer, landlord",noun
집주인,"house owner, landlord, landlady",noun
재벌,"conglomerate, extremely wealthy group",noun
부동산,"real estate, property, real estate agent",noun
비서,"secretary, personal assistant",noun
월차,monthly leave,noun
퇴근,"leave work, get off work",noun
퇴근시간,closing time,noun
과로,"overwork, working too much, excessive labor",noun
회의실,"meeting room, conference room",noun
회의,"(business) meeting, conference; doubt (about), skepticism",noun
모임,"meeting, gathering, get-together; group, association",noun
만남,meeting (2 or more parties coming together),noun
회식,"dining together (among colleagues), group dinner",noun
그룹,group (people who do something together),noun
집단,"group, body (interchangeable with 그룹)(group or organization that consists of two or more people)",noun
조직,"group (with structure and a goal), organization, ring; tissue (group of cells); texture (of cloth)",noun
공동,"joint, group, collaboration; work together, cooperate",noun
동아리,"club, society, group",noun
클럽,"club, society, frat/sorority; club (nightclub); club (golf club)",noun
부대,"unit, party that acts together, troops, military camp; bag, sack",noun
행사,"event, function, special occasion; use, exert, invoke, exercise (something)",noun
출장,business trip; take part in,noun
휴가,"vacation (in general), break, leave",noun
휴가철,vacation/holiday season,noun
신혼여행,honeymoon,noun
경제,economy,noun
경제적,"financial, economic",noun
주식,"stocks, shares; staple food in a diet",noun
무역,"trade, commerce",noun
시장,market (both senses); mayor,noun
산업,industry,noun
공업,(manufacturing) industry,noun
광고,"advertisement (closer to widely reporting something), commercial; publicity",noun
장보기,the act of going to a market to buy or sell items,noun
세일,sale (discount),noun
할인,discount,noun
쇼핑,shopping,noun
가게,"shop, store",noun
쇼핑센터,shopping center,noun
백화점,department store,noun
편의점,convenience store,noun
제품,"product, manufactured goods",noun
신제품,new product,noun
품목,"item name, list of goods",noun
상품,"prize; product, goods, good product",noun
동료,"colleague, co-worker, peer",noun
점원,"salesperson, clerk, shop assistant",noun
손님,"guest, visitor; customer; passenger",noun
고객,"customer, client",noun
소비자,consumer,noun
금융,"finance, banking",noun
은행,bank,noun
은행원,"teller, bank clerk",noun
우체국,post office,noun
우표,(postage) stamp,noun
치과,"dentist, dental surgery, dentistry, dentist's office",noun
서점,bookstore,noun
책방,(less common) bookstore,noun
미용실,"beauty parlor, hairdresser's",noun
약속,appointment; promise,noun
예약,"reservation, booking, appointment",noun
계약,"contract (with/between), agreement",noun
약국,pharmacy,noun
약사,pharmacist,noun
식당,"restaurant, cafeteria, diner, dining room",noun
매점,"snack stand, booth, cafeteria",noun
한식집,Korean restaurant,noun
중국집,Chinese restaurant,noun
일식집,Japanese restaurant,noun
음식점,restaurant (formal),noun
카페,cafe; coffee shop,noun
커피숍,coffee shop,noun
다방,"tea room, coffee house",noun
찻집,teahouse,noun
술집,"bar, pub",noun
메뉴,menu,noun
종업원,"waiter, waitress, employee, staff, worker",noun
식사,meal; address (speech),noun
병원,"hospital, clinic",noun
의사,"doctor, physician; intention, idea",noun
간호사,nurse,noun
진찰,"medical examination, checkup (used by the doctor)",noun
진단,"diagnosis, examination",noun
약,"drug, medicine; approximately",noun
알약,"pill, tablet",noun
의학,"medicine, medical science",noun
치료,"treatment, cure, remedy, therapy",noun
붕대,"bandage, dressing",noun
